red,green,blue,label
386.30,353.90,355.90,ripe
418.90,371.20,364.90,ripe
401.10,360.30,358.90,ripe
418.60,381.90,388.70,ripe
496.60,404.60,391.10,ripe
421.40,334.70,320.10,ripe
407.50,358.30,374.00,ripe
515.20,447.90,458.00,ripe
552.00,445.90,427.60,ripe
483.30,389.10,363.60,ripe
388.50,342.00,320.50,ripe
335.40,317.30,321.80,ripe
381.60,339.70,339.00,ripe
440.40,363.60,362.90,ripe
443.30,360.00,347.40,ripe
405.20,340.70,337.50,ripe
390.40,338.80,333.50,ripe
407.50,335.50,325.80,ripe
373.80,321.60,309.60,ripe
346.90,314.90,313.80,ripe
367.60,327.50,321.80,ripe
382.90,329.60,324.20,ripe
394.00,334.00,323.80,ripe
391.10,329.20,325.50,ripe
409.00,344.10,336.90,ripe
419.00,352.20,351.30,ripe
414.40,359.20,362.10,ripe
435.60,363.40,356.00,ripe
416.70,340.10,336.20,ripe
384.90,345.00,348.80,ripe
398.30,352.40,350.20,ripe
397.90,352.00,356.90,ripe
447.90,363.70,358.00,ripe
462.50,359.70,350.30,ripe
449.30,357.50,341.70,ripe
437.40,348.10,340.60,ripe
453.90,354.90,346.30,ripe
465.00,341.90,335.50,ripe
396.80,330.00,318.40,ripe
382.80,325.20,317.90,ripe
405.00,333.10,325.10,ripe
406.50,331.70,319.60,ripe
395.80,327.40,319.20,ripe
389.30,319.90,307.60,ripe
403.90,315.00,308.80,ripe
393.10,336.10,347.30,ripe
496.60,389.60,385.80,ripe
539.80,418.70,414.10,ripe
562.60,440.50,422.60,ripe
541.70,408.40,386.80,ripe
489.20,380.00,365.50,ripe
469.00,368.60,344.90,ripe
394.80,340.50,337.40,ripe
442.90,360.20,356.10,ripe
467.50,376.60,372.40,ripe
507.50,396.30,389.50,ripe
540.20,410.00,390.80,ripe
497.50,379.00,360.80,ripe
421.40,352.20,341.80,ripe
389.10,347.80,348.40,ripe
459.80,372.50,365.40,ripe
475.50,381.20,371.80,ripe
479.40,384.70,365.70,ripe
466.30,375.70,363.10,ripe
466.70,379.50,371.00,ripe
488.20,380.30,369.10,ripe
447.00,362.20,353.90,ripe
469.20,410.80,415.00,ripe
542.70,431.20,431.50,ripe
491.10,399.90,387.40,ripe
476.80,411.50,419.50,ripe
548.00,443.70,431.60,ripe
518.30,419.00,394.60,ripe
472.90,351.20,326.60,ripe
401.30,306.50,305.30,ripe
385.50,337.90,334.80,ripe
410.10,353.50,351.00,ripe
431.10,367.90,360.90,ripe
438.70,372.90,364.10,ripe
446.60,374.80,359.40,ripe
474.40,381.30,382.00,ripe
489.90,398.40,386.30,ripe
488.50,394.20,385.40,ripe
493.50,407.50,402.30,ripe
512.30,411.20,400.20,ripe
514.30,411.40,398.10,ripe
493.50,405.10,399.00,ripe
484.00,434.80,448.70,ripe
545.40,494.90,493.40,ripe
530.60,474.80,459.20,ripe
504.00,450.80,440.80,ripe
477.30,448.20,462.40,ripe
511.50,467.20,470.40,ripe
507.20,468.00,467.60,ripe
